roi,F,p_anova,n_age_groups,n_sig_pairs
R_V1_ROI,100.199,0.0,6,11
R_MST_ROI,94.414,0.0,6,13
R_V6_ROI,81.448,0.0,6,13
R_V2_ROI,55.091,0.0,6,10
R_V3_ROI,88.057,0.0,6,12
R_V4_ROI,109.365,0.0,6,13
R_V8_ROI,27.559,0.0,6,11
R_4_ROI,207.963,0.0,6,14
R_3b_ROI,83.595,0.0,6,13
R_FEF_ROI,171.5,0.0,6,15
R_PEF_ROI,90.918,0.0,6,14
R_55b_ROI,116.362,0.0,6,15
R_V3A_ROI,95.981,0.0,6,12
R_RSC_ROI,56.779,0.0,6,13
R_POS2_ROI,104.965,0.0,6,14
R_V7_ROI,58.199,0.0,6,12
R_IPS1_ROI,74.144,0.0,6,13
R_FFC_ROI,29.31,0.0,6,12
R_V3B_ROI,102.753,0.0,6,14
R_LO1_ROI,59.909,0.0,6,11
