roi,F,p_anova,n_age_groups,n_sig_pairs
R_V1_ROI,58.743,0.0,6,12
R_MST_ROI,23.435,0.0,6,11
R_V6_ROI,39.193,0.0,6,12
R_V2_ROI,41.147,0.0,6,11
R_V3_ROI,31.337,0.0,6,9
R_V4_ROI,43.7,0.0,6,12
R_V8_ROI,15.063,0.0,6,7
R_4_ROI,73.547,0.0,6,14
R_3b_ROI,35.914,0.0,6,11
R_FEF_ROI,33.687,0.0,6,11
R_PEF_ROI,16.514,0.0,6,10
R_55b_ROI,30.464,0.0,6,13
R_V3A_ROI,37.978,0.0,6,9
R_RSC_ROI,72.658,0.0,6,14
R_POS2_ROI,26.244,0.0,6,11
R_V7_ROI,13.03,0.0,6,6
R_IPS1_ROI,20.087,0.0,6,8
R_FFC_ROI,31.843,0.0,6,11
R_V3B_ROI,19.004,0.0,6,9
R_LO1_ROI,24.825,0.0,6,10
