ROI,r,n,p,95% CI [r],p_FDR,FDR sig.
R_V1_ROI,-0.532,1150,< .001,"[-0.572, -0.489]",< .001,✓
R_MST_ROI,-0.546,1150,< .001,"[-0.586, -0.504]",< .001,✓
R_V6_ROI,-0.520,1150,< .001,"[-0.561, -0.477]",< .001,✓
R_V2_ROI,-0.437,1150,< .001,"[-0.482, -0.389]",< .001,✓
R_V3_ROI,-0.519,1150,< .001,"[-0.560, -0.475]",< .001,✓
R_V4_ROI,-0.567,1150,< .001,"[-0.605, -0.526]",< .001,✓
R_V8_ROI,-0.332,1150,< .001,"[-0.382, -0.279]",< .001,✓
R_4_ROI,-0.693,1150,< .001,"[-0.722, -0.661]",< .001,✓
R_3b_ROI,-0.520,1150,< .001,"[-0.561, -0.476]",< .001,✓
R_FEF_ROI,-0.661,1150,< .001,"[-0.693, -0.628]",< .001,✓
R_PEF_ROI,-0.538,1150,< .001,"[-0.578, -0.496]",< .001,✓
R_55b_ROI,-0.592,1150,< .001,"[-0.629, -0.554]",< .001,✓
R_V3A_ROI,-0.540,1150,< .001,"[-0.579, -0.497]",< .001,✓
R_RSC_ROI,-0.451,1150,< .001,"[-0.496, -0.404]",< .001,✓
R_POS2_ROI,-0.569,1150,< .001,"[-0.607, -0.529]",< .001,✓
R_V7_ROI,-0.443,1150,< .001,"[-0.488, -0.396]",< .001,✓
R_IPS1_ROI,-0.494,1150,< .001,"[-0.536, -0.449]",< .001,✓
R_FFC_ROI,-0.338,1150,< .001,"[-0.388, -0.286]",< .001,✓
R_V3B_ROI,-0.557,1150,< .001,"[-0.596, -0.516]",< .001,✓
R_LO1_ROI,-0.442,1150,< .001,"[-0.487, -0.394]",< .001,✓
R_LO2_ROI,-0.315,1150,< .001,"[-0.366, -0.262]",< .001,✓
R_PIT_ROI,-0.297,1150,< .001,"[-0.349, -0.244]",< .001,✓
R_MT_ROI,-0.456,1150,< .001,"[-0.501, -0.409]",< .001,✓
R_A1_ROI,-0.577,1150,< .001,"[-0.614, -0.537]",< .001,✓
R_PSL_ROI,-0.587,1150,< .001,"[-0.624, -0.548]",< .001,✓
R_SFL_ROI,-0.560,1150,< .001,"[-0.598, -0.519]",< .001,✓
R_PCV_ROI,-0.444,1150,< .001,"[-0.489, -0.396]",< .001,✓
R_STV_ROI,-0.589,1150,< .001,"[-0.626, -0.550]",< .001,✓
R_7Pm_ROI,-0.396,1150,< .001,"[-0.443, -0.346]",< .001,✓
R_7m_ROI,-0.464,1150,< .001,"[-0.508, -0.418]",< .001,✓
R_POS1_ROI,-0.597,1150,< .001,"[-0.633, -0.558]",< .001,✓
R_23d_ROI,-0.540,1150,< .001,"[-0.580, -0.498]",< .001,✓
R_v23ab_ROI,-0.506,1150,< .001,"[-0.548, -0.462]",< .001,✓
R_d23ab_ROI,-0.521,1150,< .001,"[-0.561, -0.477]",< .001,✓
R_31pv_ROI,-0.533,1150,< .001,"[-0.573, -0.490]",< .001,✓
R_5m_ROI,-0.454,1150,< .001,"[-0.499, -0.407]",< .001,✓
R_5mv_ROI,-0.484,1150,< .001,"[-0.527, -0.438]",< .001,✓
R_23c_ROI,-0.553,1150,< .001,"[-0.591, -0.511]",< .001,✓
R_5L_ROI,-0.415,1150,< .001,"[-0.462, -0.366]",< .001,✓
R_24dd_ROI,-0.637,1150,< .001,"[-0.670, -0.601]",< .001,✓
