ROI,r,n,p,95% CI [r],p_FDR,FDR sig.
R_V1_ROI,-0.439,1150,< .001,"[-0.484, -0.391]",< .001,✓
R_MST_ROI,-0.306,1150,< .001,"[-0.358, -0.253]",< .001,✓
R_V6_ROI,-0.382,1150,< .001,"[-0.431, -0.332]",< .001,✓
R_V2_ROI,-0.393,1150,< .001,"[-0.441, -0.343]",< .001,✓
R_V3_ROI,-0.341,1150,< .001,"[-0.391, -0.289]",< .001,✓
R_V4_ROI,-0.401,1150,< .001,"[-0.448, -0.351]",< .001,✓
R_V8_ROI,-0.254,1150,< .001,"[-0.307, -0.199]",< .001,✓
R_4_ROI,-0.496,1150,< .001,"[-0.538, -0.451]",< .001,✓
R_3b_ROI,-0.362,1150,< .001,"[-0.411, -0.311]",< .001,✓
R_FEF_ROI,-0.360,1150,< .001,"[-0.410, -0.309]",< .001,✓
R_PEF_ROI,-0.253,1150,< .001,"[-0.306, -0.198]",< .001,✓
R_55b_ROI,-0.339,1150,< .001,"[-0.389, -0.287]",< .001,✓
R_V3A_ROI,-0.361,1150,< .001,"[-0.410, -0.309]",< .001,✓
R_RSC_ROI,-0.493,1150,< .001,"[-0.535, -0.448]",< .001,✓
R_POS2_ROI,-0.317,1150,< .001,"[-0.368, -0.264]",< .001,✓
R_V7_ROI,-0.214,1150,< .001,"[-0.268, -0.158]",< .001,✓
R_IPS1_ROI,-0.272,1150,< .001,"[-0.324, -0.217]",< .001,✓
R_FFC_ROI,-0.354,1150,< .001,"[-0.403, -0.302]",< .001,✓
R_V3B_ROI,-0.272,1150,< .001,"[-0.325, -0.218]",< .001,✓
R_LO1_ROI,-0.311,1150,< .001,"[-0.362, -0.258]",< .001,✓
R_LO2_ROI,-0.215,1150,< .001,"[-0.269, -0.159]",< .001,✓
R_PIT_ROI,-0.250,1150,< .001,"[-0.304, -0.195]",< .001,✓
R_MT_ROI,-0.260,1150,< .001,"[-0.313, -0.205]",< .001,✓
R_A1_ROI,-0.274,1150,< .001,"[-0.326, -0.220]",< .001,✓
R_PSL_ROI,-0.307,1150,< .001,"[-0.358, -0.254]",< .001,✓
R_SFL_ROI,-0.341,1150,< .001,"[-0.391, -0.289]",< .001,✓
R_PCV_ROI,-0.353,1150,< .001,"[-0.403, -0.302]",< .001,✓
R_STV_ROI,-0.355,1150,< .001,"[-0.405, -0.303]",< .001,✓
R_7Pm_ROI,-0.249,1150,< .001,"[-0.303, -0.194]",< .001,✓
R_7m_ROI,-0.324,1150,< .001,"[-0.375, -0.271]",< .001,✓
R_POS1_ROI,-0.377,1150,< .001,"[-0.425, -0.326]",< .001,✓
R_23d_ROI,-0.406,1150,< .001,"[-0.454, -0.357]",< .001,✓
R_v23ab_ROI,-0.281,1150,< .001,"[-0.333, -0.226]",< .001,✓
R_d23ab_ROI,-0.402,1150,< .001,"[-0.450, -0.353]",< .001,✓
R_31pv_ROI,-0.413,1150,< .001,"[-0.460, -0.364]",< .001,✓
R_5m_ROI,-0.348,1150,< .001,"[-0.398, -0.296]",< .001,✓
R_5mv_ROI,-0.304,1150,< .001,"[-0.355, -0.250]",< .001,✓
R_23c_ROI,-0.458,1150,< .001,"[-0.503, -0.412]",< .001,✓
R_5L_ROI,-0.298,1150,< .001,"[-0.350, -0.245]",< .001,✓
R_24dd_ROI,-0.346,1150,< .001,"[-0.396, -0.294]",< .001,✓
R_24dv_ROI,-0.364,1150,< .001,"[-0.413, -0.313]",< .001,✓
R_7AL_ROI,-0.340,1150,< .001,"[-0.390, -0.288]",< .001,✓
R_SCEF_ROI,-0.411,1150,< .001,"[-0.458, -0.362]",< .001,✓
R_6ma_ROI,-0.431,1150,< .001,"[-0.477, -0.383]",< .001,✓
R_7Am_ROI,-0.394,1150,< .001,"[-0.442, -0.344]",< .001,✓
R_7PL_ROI,-0.291,1150,< .001,"[-0.343, -0.237]",< .001,✓
R_7PC_ROI,-0.298,1150,< .001,"[-0.349, -0.244]",< .001,✓
R_LIPv_ROI,-0.309,1150,< .001,"[-0.360, -0.256]",< .001,✓
R_VIP_ROI,-0.337,1150,< .001,"[-0.388, -0.285]",< .001,✓
R_MIP_ROI,-0.274,1150,< .001,"[-0.327, -0.220]",< .001,✓
R_1_ROI,-0.489,1150,< .001,"[-0.532, -0.444]",< .001,✓
R_2_ROI,-0.398,1150,< .001,"[-0.445, -0.348]",< .001,✓
R_3a_ROI,-0.298,1150,< .001,"[-0.350, -0.245]",< .001,✓
R_6d_ROI,-0.303,1150,< .001,"[-0.354, -0.249]",< .001,✓
R_6mp_ROI,-0.351,1150,< .001,"[-0.401, -0.299]",< .001,✓
R_6v_ROI,-0.299,1150,< .001,"[-0.351, -0.246]",< .001,✓
R_p24pr_ROI,-0.301,1150,< .001,"[-0.353, -0.248]",< .001,✓
R_33pr_ROI,-0.359,1150,< .001,"[-0.409, -0.308]",< .001,✓
R_a24pr_ROI,-0.161,1150,< .001,"[-0.217, -0.104]",< .001,✓
R_p32pr_ROI,-0.412,1150,< .001,"[-0.459, -0.363]",< .001,✓
R_d32_ROI,-0.383,1150,< .001,"[-0.431, -0.332]",< .001,✓
R_8BM_ROI,-0.420,1150,< .001,"[-0.466, -0.371]",< .001,✓
R_p32_ROI,-0.150,1150,< .001,"[-0.206, -0.093]",< .001,✓
R_10r_ROI,-0.066,1150,= 0.026,"[-0.123, -0.008]",= 0.026,✓
R_47m_ROI,-0.289,1150,< .001,"[-0.341, -0.235]",< .001,✓
R_8Av_ROI,-0.300,1150,< .001,"[-0.351, -0.246]",< .001,✓
R_8Ad_ROI,-0.380,1150,< .001,"[-0.429, -0.330]",< .001,✓
R_9m_ROI,-0.278,1150,< .001,"[-0.331, -0.224]",< .001,✓
