ROI,t,df,p,d,95% CI [d],p_FDR,FDR sig.
R_V1_ROI,-5.38,821,< .001,-0.38,"[-0.51, -0.24]",< .001,✓
R_MST_ROI,-4.11,821,< .001,-0.29,"[-0.42, -0.15]",< .001,✓
R_V6_ROI,-3.71,821,< .001,-0.26,"[-0.40, -0.12]",< .001,✓
R_V2_ROI,-5.57,821,< .001,-0.39,"[-0.53, -0.25]",< .001,✓
R_V3_ROI,-4.70,821,< .001,-0.33,"[-0.47, -0.19]",< .001,✓
R_V4_ROI,-4.69,821,< .001,-0.33,"[-0.46, -0.19]",< .001,✓
R_V8_ROI,-2.73,821,= 0.007,-0.19,"[-0.33, -0.05]",= 0.008,✓
R_4_ROI,-5.31,821,< .001,-0.37,"[-0.51, -0.23]",< .001,✓
R_3b_ROI,-5.15,821,< .001,-0.36,"[-0.50, -0.22]",< .001,✓
R_FEF_ROI,-4.76,821,< .001,-0.33,"[-0.47, -0.19]",< .001,✓
R_PEF_ROI,-3.75,821,< .001,-0.26,"[-0.40, -0.12]",< .001,✓
R_55b_ROI,-5.60,821,< .001,-0.39,"[-0.53, -0.25]",< .001,✓
R_V3A_ROI,-3.40,821,< .001,-0.24,"[-0.37, -0.10]",= 0.001,✓
R_RSC_ROI,-2.92,821,= 0.004,-0.20,"[-0.34, -0.07]",= 0.005,✓
R_POS2_ROI,-3.48,821,< .001,-0.24,"[-0.38, -0.11]",< .001,✓
R_V7_ROI,-2.55,821,= 0.011,-0.18,"[-0.31, -0.04]",= 0.014,✓
R_IPS1_ROI,-3.18,821,= 0.002,-0.22,"[-0.36, -0.08]",= 0.002,✓
R_FFC_ROI,-4.01,821,< .001,-0.28,"[-0.42, -0.14]",< .001,✓
R_V3B_ROI,-3.46,821,< .001,-0.24,"[-0.38, -0.10]",< .001,✓
R_LO1_ROI,-3.95,821,< .001,-0.28,"[-0.41, -0.14]",< .001,✓
R_LO2_ROI,-3.70,821,< .001,-0.26,"[-0.39, -0.12]",< .001,✓
