ROI,t,df,p,d,95% CI [d],p_FDR,FDR sig.
R_V1_ROI,-1.00,1148,= 0.318,-0.06,"[-0.18, 0.06]",= 0.997,
R_MST_ROI,-0.44,1148,= 0.659,-0.03,"[-0.15, 0.09]",= 0.997,
R_V6_ROI,-0.74,1148,= 0.462,-0.05,"[-0.17, 0.08]",= 0.997,
R_V2_ROI,-0.94,1148,= 0.345,-0.06,"[-0.18, 0.06]",= 0.997,
R_V3_ROI,0.15,1148,= 0.885,0.01,"[-0.11, 0.13]",= 0.997,
R_V4_ROI,0.07,1148,= 0.945,0.00,"[-0.12, 0.13]",= 0.997,
R_V8_ROI,1.29,1148,= 0.196,0.08,"[-0.04, 0.20]",= 0.997,
R_4_ROI,-0.39,1148,= 0.693,-0.02,"[-0.15, 0.10]",= 0.997,
R_3b_ROI,-1.72,1148,= 0.087,-0.11,"[-0.23, 0.01]",= 0.997,
R_FEF_ROI,-0.47,1148,= 0.637,-0.03,"[-0.15, 0.09]",= 0.997,
R_PEF_ROI,1.20,1148,= 0.230,0.07,"[-0.05, 0.19]",= 0.997,
R_55b_ROI,-1.10,1148,= 0.272,-0.07,"[-0.19, 0.05]",= 0.997,
R_V3A_ROI,-0.44,1148,= 0.660,-0.03,"[-0.15, 0.09]",= 0.997,
R_RSC_ROI,1.22,1148,= 0.224,0.08,"[-0.05, 0.20]",= 0.997,
R_POS2_ROI,-0.69,1148,= 0.489,-0.04,"[-0.17, 0.08]",= 0.997,
R_V7_ROI,-0.83,1148,= 0.406,-0.05,"[-0.17, 0.07]",= 0.997,
R_IPS1_ROI,-0.74,1148,= 0.462,-0.05,"[-0.17, 0.08]",= 0.997,
R_FFC_ROI,-0.04,1148,= 0.966,-0.00,"[-0.12, 0.12]",= 0.997,
R_V3B_ROI,0.66,1148,= 0.511,0.04,"[-0.08, 0.16]",= 0.997,
R_LO1_ROI,-0.37,1148,= 0.710,-0.02,"[-0.14, 0.10]",= 0.997,
R_LO2_ROI,0.86,1148,= 0.390,0.05,"[-0.07, 0.18]",= 0.997,
R_PIT_ROI,-0.24,1148,= 0.811,-0.01,"[-0.14, 0.11]",= 0.997,
R_MT_ROI,-0.53,1148,= 0.598,-0.03,"[-0.15, 0.09]",= 0.997,
R_A1_ROI,-0.32,1148,= 0.746,-0.02,"[-0.14, 0.10]",= 0.997,
R_PSL_ROI,0.51,1148,= 0.611,0.03,"[-0.09, 0.15]",= 0.997,
R_SFL_ROI,-0.19,1148,= 0.850,-0.01,"[-0.13, 0.11]",= 0.997,
R_PCV_ROI,-2.44,1148,= 0.015,-0.15,"[-0.27, -0.03]",= 0.997,
R_STV_ROI,-0.19,1148,= 0.850,-0.01,"[-0.13, 0.11]",= 0.997,
R_7Pm_ROI,-1.53,1148,= 0.126,-0.09,"[-0.22, 0.03]",= 0.997,
R_7m_ROI,0.41,1148,= 0.680,0.03,"[-0.10, 0.15]",= 0.997,
R_POS1_ROI,0.71,1148,= 0.477,0.04,"[-0.08, 0.17]",= 0.997,
R_23d_ROI,-0.24,1148,= 0.809,-0.01,"[-0.14, 0.11]",= 0.997,
R_v23ab_ROI,0.57,1148,= 0.566,0.04,"[-0.09, 0.16]",= 0.997,
