broad_lobe,cortex,n_parcels
Frontal,Anterior_Cingulate_and_Medial_Prefrontal,16
Frontal,Dorsolateral_Prefrontal,13
Frontal,Inferior_Frontal,9
Frontal,Insular_and_Frontal_Opercular,4
Frontal,Orbital_and_Polar_Frontal,9
Frontal,Paracentral_Lobular_and_Mid_Cingulate,5
Frontal,Posterior_Opercular,2
Frontal,Premotor,7
Frontal,Somatosensory_and_Motor,2
Insular,Insular_and_Frontal_Opercular,6
Occipital,Dorsal_Stream_Visual,5
Occipital,Early_Visual,3
Occipital,Inferior_Parietal,2
Occipital,MT+_Complex_and_Neighboring_Visual_Areas,8
Occipital,Posterior_Cingulate,2
Occipital,Primary_Visual,1
Occipital,Temporo-Parieto-Occipital_Junction,1
Occipital,Ventral_Stream_Visual,5
Parietal,Dorsal_Stream_Visual,1
Parietal,Early_Auditory,2
Parietal,Inferior_Parietal,8
Parietal,Paracentral_Lobular_and_Mid_Cingulate,4
Parietal,Posterior_Cingulate,11
Parietal,Posterior_Opercular,3
Parietal,Somatosensory_and_Motor,3
Parietal,Superior_Parietal,10
Parietal,Temporo-Parieto-Occipital_Junction,2
Parietal,Temporo-Parieto_Occipital_Junction,1
Temporal,Auditory_Association,8
Temporal,Early_Auditory,5
Temporal,Insular_and_Frontal_Opercular,2
Temporal,Lateral_Temporal,8
Temporal,MT+_Complex_and_Neighboring_Visual_Areas,1
Temporal,Medial_Temporal,8
Temporal,Temporo-Parieto-Occipital_Junction,1
Temporal,Ventral_Stream_Visual,2
