regionName,regionLongName,region,LR,Lobe,broad_lobe,cortex,is_cingulate,regionID
V1_L,Primary_Visual_Cortex_L,V1,L,Occ,Occipital,Primary_Visual,False,1
MST_L,Medial_Superior_Temporal_Area_L,MST,L,Occ,Occipital,MT+_Complex_and_Neighboring_Visual_Areas,False,2
V6_L,Sixth_Visual_Area_L,V6,L,Occ,Occipital,Dorsal_Stream_Visual,False,3
V2_L,Second_Visual_Area_L,V2,L,Occ,Occipital,Early_Visual,False,4
V3_L,Third_Visual_Area_L,V3,L,Occ,Occipital,Early_Visual,False,5
V4_L,Fourth_Visual_Area_L,V4,L,Occ,Occipital,Early_Visual,False,6
V8_L,Eighth_Visual_Area_L,V8,L,Occ,Occipital,Ventral_Stream_Visual,False,7
4_L,Primary_Motor_Cortex_L,4,L,Fr,Frontal,Somatosensory_and_Motor,False,8
3b_L,Primary_Sensory_Cortex_L,3b,L,Par,Parietal,Somatosensory_and_Motor,False,9
FEF_L,Frontal_Eye_Fields_L,FEF,L,Fr,Frontal,Premotor,False,10
PEF_L,Premotor_Eye_Field_L,PEF,L,Fr,Frontal,Premotor,False,11
55b_L,Area_55b_L,55b,L,Fr,Frontal,Premotor,False,12
V3A_L,Area_V3A_L,V3A,L,Occ,Occipital,Dorsal_Stream_Visual,False,13
RSC_L,RetroSplenial_Complex_L,RSC,L,Par,Parietal,Posterior_Cingulate,True,14
POS2_L,Parieto-Occipital_Sulcus_Area_2_L,POS2,L,Occ,Occipital,Posterior_Cingulate,True,15
V7_L,Seventh_Visual_Area_L,V7,L,Occ,Occipital,Dorsal_Stream_Visual,False,16
IPS1_L,IntraParietal_Sulcus_Area_1_L,IPS1,L,Par,Parietal,Dorsal_Stream_Visual,False,17
FFC_L,Fusiform_Face_Complex_L,FFC,L,Temp,Temporal,Ventral_Stream_Visual,False,18
V3B_L,Area_V3B_L,V3B,L,Occ,Occipital,Dorsal_Stream_Visual,False,19
LO1_L,Area_Lateral_Occipital_1_L,LO1,L,Occ,Occipital,MT+_Complex_and_Neighboring_Visual_Areas,False,20
LO2_L,Area_Lateral_Occipital_2_L,LO2,L,Occ,Occipital,MT+_Complex_and_Neighboring_Visual_Areas,False,21
PIT_L,Posterior_InferoTemporal_complex_L,PIT,L,Occ,Occipital,Ventral_Stream_Visual,False,22
MT_L,Middle_Temporal_Area_L,MT,L,Occ,Occipital,MT+_Complex_and_Neighboring_Visual_Areas,False,23
A1_L,Primary_Auditory_Cortex_L,A1,L,Temp,Temporal,Early_Auditory,False,24
PSL_L,PeriSylvian_Language_Area_L,PSL,L,Par,Parietal,Temporo-Parieto_Occipital_Junction,False,25
SFL_L,Superior_Frontal_Language_Area_L,SFL,L,Fr,Frontal,Dorsolateral_Prefrontal,False,26
PCV_L,PreCuneus_Visual_Area_L,PCV,L,Par,Parietal,Posterior_Cingulate,True,27
STV_L,Superior_Temporal_Visual_Area_L,STV,L,Par,Parietal,Temporo-Parieto-Occipital_Junction,False,28
7Pm_L,Medial_Area_7P_L,7Pm,L,Par,Parietal,Superior_Parietal,False,29
7m_L,Area_7m_L,7m,L,Par,Parietal,Posterior_Cingulate,True,30
POS1_L,Parieto-Occipital_Sulcus_Area_1_L,POS1,L,Par,Parietal,Posterior_Cingulate,True,31
23d_L,Area_23d_L,23d,L,Par,Parietal,Posterior_Cingulate,True,32
v23ab_L,Area_ventral_23_a+b_L,v23ab,L,Par,Parietal,Posterior_Cingulate,True,33
d23ab_L,Area_dorsal_23_a+b_L,d23ab,L,Par,Parietal,Posterior_Cingulate,True,34
31pv_L,Area_31p_ventral_L,31pv,L,Par,Parietal,Posterior_Cingulate,True,35
5m_L,Area_5m_L,5m,L,Par,Parietal,Paracentral_Lobular_and_Mid_Cingulate,True,36
5mv_L,Area_5m_ventral_L,5mv,L,Par,Parietal,Paracentral_Lobular_and_Mid_Cingulate,True,37
23c_L,Area_23c_L,23c,L,Par,Parietal,Paracentral_Lobular_and_Mid_Cingulate,True,38
5L_L,Area_5L_L,5L,L,Par,Parietal,Paracentral_Lobular_and_Mid_Cingulate,True,39
24dd_L,Dorsal_Area_24d_L,24dd,L,Fr,Frontal,Paracentral_Lobular_and_Mid_Cingulate,True,40
24dv_L,Ventral_Area_24d_L,24dv,L,Fr,Frontal,Paracentral_Lobular_and_Mid_Cingulate,True,41
7AL_L,Lateral_Area_7A_L,7AL,L,Par,Parietal,Superior_Parietal,False,42
SCEF_L,Supplementary_and_Cingulate_Eye_Field_L,SCEF,L,Fr,Frontal,Paracentral_Lobular_and_Mid_Cingulate,True,43
6ma_L,Area_6m_anterior_L,6ma,L,Fr,Frontal,Paracentral_Lobular_and_Mid_Cingulate,True,44
7Am_L,Medial_Area_7A_L,7Am,L,Par,Parietal,Superior_Parietal,False,45
7Pl_L,Lateral_Area_7P_L,7Pl,L,Par,Parietal,Superior_Parietal,False,46
7PC_L,Area_7PC_L,7PC,L,Par,Parietal,Superior_Parietal,False,47
LIPv_L,Area_Lateral_IntraParietal_ventral_L,LIPv,L,Par,Parietal,Superior_Parietal,False,48
VIP_L,Ventral_IntraParietal_Complex_L,VIP,L,Par,Parietal,Superior_Parietal,False,49
MIP_L,Medial_IntraParietal_Area_L,MIP,L,Par,Parietal,Superior_Parietal,False,50
1_L,Area_1_L,1,L,Par,Parietal,Somatosensory_and_Motor,False,51
2_L,Area_2_L,2,L,Par,Parietal,Somatosensory_and_Motor,False,52
3a_L,Area_3a_L,3a,L,Fr,Frontal,Somatosensory_and_Motor,False,53
6d_L,Dorsal_area_6_L,6d,L,Fr,Frontal,Premotor,False,54
6mp_L,Area_6mp_L,6mp,L,Fr,Frontal,Paracentral_Lobular_and_Mid_Cingulate,True,55
6v_L,Ventral_Area_6_L,6v,L,Fr,Frontal,Premotor,False,56
p24pr_L,Area_Posterior_24_prime_L,p24pr,L,Fr,Frontal,Anterior_Cingulate_and_Medial_Prefrontal,True,57
33pr_L,Area_33_prime_L,33pr,L,Fr,Frontal,Anterior_Cingulate_and_Medial_Prefrontal,True,58
a24pr_L,Anterior_24_prime_L,a24pr,L,Fr,Frontal,Anterior_Cingulate_and_Medial_Prefrontal,True,59
p32pr_L,Area_p32_prime_L,p32pr,L,Fr,Frontal,Anterior_Cingulate_and_Medial_Prefrontal,True,60
a24_L,Area_a24_L,a24,L,Fr,Frontal,Anterior_Cingulate_and_Medial_Prefrontal,True,61
d32_L,Area_dorsal_32_L,d32,L,Fr,Frontal,Anterior_Cingulate_and_Medial_Prefrontal,True,62
8BM_L,Area_8BM_L,8BM,L,Fr,Frontal,Anterior_Cingulate_and_Medial_Prefrontal,True,63
p32_L,Area_p32_L,p32,L,Fr,Frontal,Anterior_Cingulate_and_Medial_Prefrontal,True,64
10r_L,Area_10r_L,10r,L,Fr,Frontal,Anterior_Cingulate_and_Medial_Prefrontal,True,65
47m_L,Area_47m_L,47m,L,Fr,Frontal,Orbital_and_Polar_Frontal,False,66
8Av_L,Area_8Av_L,8Av,L,Fr,Frontal,Dorsolateral_Prefrontal,False,67
8Ad_L,Area_8Ad_L,8Ad,L,Fr,Frontal,Dorsolateral_Prefrontal,False,68
9m_L,Area_9_Middle_L,9m,L,Fr,Frontal,Anterior_Cingulate_and_Medial_Prefrontal,True,69
8BL_L,Area_8B_Lateral_L,8BL,L,Fr,Frontal,Dorsolateral_Prefrontal,False,70
9p_L,Area_9_Posterior_L,9p,L,Fr,Frontal,Dorsolateral_Prefrontal,False,71
10d_L,Area_10d_L,10d,L,Fr,Frontal,Orbital_and_Polar_Frontal,False,72
8C_L,Area_8C_L,8C,L,Fr,Frontal,Dorsolateral_Prefrontal,False,73
44_L,Area_44_L,44,L,Fr,Frontal,Inferior_Frontal,False,74
45_L,Area_45_L,45,L,Fr,Frontal,Inferior_Frontal,False,75
47l_L,Area_47l_(47_lateral)_L,47l,L,Fr,Frontal,Inferior_Frontal,False,76
a47r_L,Area_anterior_47r_L,a47r,L,Fr,Frontal,Inferior_Frontal,False,77
6r_L,Rostral_Area_6_L,6r,L,Fr,Frontal,Premotor,False,78
IFJa_L,Area_IFJa_L,IFJa,L,Fr,Frontal,Inferior_Frontal,False,79
IFJp_L,Area_IFJp_L,IFJp,L,Fr,Frontal,Inferior_Frontal,False,80
IFSp_L,Area_IFSp_L,IFSp,L,Fr,Frontal,Inferior_Frontal,False,81
IFSa_L,Area_IFSa_L,IFSa,L,Fr,Frontal,Inferior_Frontal,False,82
p9-46v_L,Area_posterior_9-46v_L,p9-46v,L,Fr,Frontal,Dorsolateral_Prefrontal,False,83
46_L,Area_46_L,46,L,Fr,Frontal,Dorsolateral_Prefrontal,False,84
a9-46v_L,Area_anterior_9-46v_L,a9-46v,L,Fr,Frontal,Dorsolateral_Prefrontal,False,85
9-46d_L,Area_9-46d_L,9-46d,L,Fr,Frontal,Dorsolateral_Prefrontal,False,86
9a_L,Area_9_anterior_L,9a,L,Fr,Frontal,Dorsolateral_Prefrontal,False,87
10v_L,Area_10v_L,10v,L,Fr,Frontal,Anterior_Cingulate_and_Medial_Prefrontal,True,88
a10p_L,Area_anterior_10p_L,a10p,L,Fr,Frontal,Orbital_and_Polar_Frontal,False,89
10pp_L,Polar_10p_L,10pp,L,Fr,Frontal,Orbital_and_Polar_Frontal,False,90
11l_L,Area_11l_L,11l,L,Fr,Frontal,Orbital_and_Polar_Frontal,False,91
13l_L,Area_13l_L,13l,L,Fr,Frontal,Orbital_and_Polar_Frontal,False,92
OFC_L,Orbital_Frontal_Complex_L,OFC,L,Fr,Frontal,Orbital_and_Polar_Frontal,False,93
47s_L,Area_47s_L,47s,L,Fr,Frontal,Orbital_and_Polar_Frontal,False,94
LIPd_L,Area_Lateral_IntraParietal_dorsal_L,LIPd,L,Par,Parietal,Superior_Parietal,False,95
6a_L,Area_6_anterior_L,6a,L,Fr,Frontal,Premotor,False,96
i6-8_L,Inferior_6-8_Transitional_Area_L,i6-8,L,Fr,Frontal,Dorsolateral_Prefrontal,False,97
s6-8_L,Superior_6-8_Transitional_Area_L,s6-8,L,Fr,Frontal,Dorsolateral_Prefrontal,False,98
43_L,Area_43_L,43,L,Fr,Frontal,Posterior_Opercular,False,99
OP4_L,Area_OP4-PV_L,OP4,L,Par,Parietal,Posterior_Opercular,False,100
OP1_L,Area_OP1-SII_L,OP1,L,Par,Parietal,Posterior_Opercular,False,101
OP2-3_L,Area_OP2-3-VS_L,OP2-3,L,Par,Parietal,Posterior_Opercular,False,102
52_L,Area_52_L,52,L,Temp,Temporal,Early_Auditory,False,103
RI_L,RetroInsular_Cortex_L,RI,L,Par,Parietal,Early_Auditory,False,104
PFcm_L,Area_PFcm_L,PFcm,L,Par,Parietal,Early_Auditory,False,105
PoI2_L,Posterior_Insular_Area_2_L,PoI2,L,Ins,Insular,Insular_and_Frontal_Opercular,False,106
TA2_L,Area_TA2_L,TA2,L,Temp,Temporal,Auditory_Association,False,107
FOP4_L,Frontal_Opercular_Area_4_L,FOP4,L,Fr,Frontal,Insular_and_Frontal_Opercular,False,108
MI_L,Middle_Insular_Area_L,MI,L,Ins,Insular,Insular_and_Frontal_Opercular,False,109
Pir_L,Pirform_Cortex_L,Pir,L,Temp,Temporal,Insular_and_Frontal_Opercular,False,110
AVI_L,Anterior_Ventral_Insular_Area_L,AVI,L,Fr,Frontal,Insular_and_Frontal_Opercular,False,111
AAIC_L,Anterior_Agranular_Insula_Complex_L,AAIC,L,Ins,Insular,Insular_and_Frontal_Opercular,False,112
FOP1_L,Frontal_Opercular_Area_1_L,FOP1,L,Fr,Frontal,Posterior_Opercular,False,113
FOP3_L,Frontal_Opercular_Area_3_L,FOP3,L,Ins,Insular,Insular_and_Frontal_Opercular,False,114
FOP2_L,Frontal_Opercular_Area_2_L,FOP2,L,Fr,Frontal,Insular_and_Frontal_Opercular,False,115
PFt_L,Area_PFt_L,PFt,L,Par,Parietal,Inferior_Parietal,False,116
AIP_L,Anterior_IntraParietal_Area_L,AIP,L,Par,Parietal,Superior_Parietal,False,117
EC_L,Entorhinal_Cortex_L,EC,L,Temp,Temporal,Medial_Temporal,False,118
PreS_L,PreSubiculum_L,PreS,L,Temp,Temporal,Medial_Temporal,False,119
H_L,Hippocampus_L,H,L,Temp,Temporal,Medial_Temporal,False,120
ProS_L,ProStriate_Area_L,ProS,L,Par,Parietal,Posterior_Cingulate,True,121
PeEc_L,Perirhinal_Ectorhinal_Cortex_L,PeEc,L,Temp,Temporal,Medial_Temporal,False,122
STGa_L,Area_STGa_L,STGa,L,Temp,Temporal,Auditory_Association,False,123
PBelt_L,ParaBelt_Complex_L,PBelt,L,Temp,Temporal,Early_Auditory,False,124
A5_L,Auditory_5_Complex_L,A5,L,Temp,Temporal,Auditory_Association,False,125
PHA1_L,ParaHippocampal_Area_1_L,PHA1,L,Temp,Temporal,Medial_Temporal,False,126
PHA3_L,ParaHippocampal_Area_3_L,PHA3,L,Temp,Temporal,Medial_Temporal,False,127
STSda_L,Area_STSd_anterior_L,STSda,L,Temp,Temporal,Auditory_Association,False,128
STSdp_L,Area_STSd_posterior_L,STSdp,L,Temp,Temporal,Auditory_Association,False,129
STSvp_L,Area_STSv_posterior_L,STSvp,L,Temp,Temporal,Auditory_Association,False,130
TGd_L,Area_TG_dorsal_L,TGd,L,Temp,Temporal,Lateral_Temporal,False,131
TE1a_L,Area_TE1_anterior_L,TE1a,L,Temp,Temporal,Lateral_Temporal,False,132
TE1p_L,Area_TE1_posterior_L,TE1p,L,Temp,Temporal,Lateral_Temporal,False,133
TE2a_L,Area_TE2_anterior_L,TE2a,L,Temp,Temporal,Lateral_Temporal,False,134
TF_L,Area_TF_L,TF,L,Temp,Temporal,Medial_Temporal,False,135
TE2p_L,Area_TE2_posterior_L,TE2p,L,Temp,Temporal,Lateral_Temporal,False,136
PHT_L,Area_PHT_L,PHT,L,Temp,Temporal,Lateral_Temporal,False,137
PH_L,Area_PH_L,PH,L,Temp,Temporal,MT+_Complex_and_Neighboring_Visual_Areas,False,138
TPOJ1_L,Area_TemporoParietoOccipital_Junction_1_L,TPOJ1,L,Temp,Temporal,Temporo-Parieto-Occipital_Junction,False,139
TPOJ2_L,Area_TemporoParietoOccipital_Junction_2_L,TPOJ2,L,Par,Parietal,Temporo-Parieto-Occipital_Junction,False,140
TPOJ3_L,Area_TemporoParietoOccipital_Junction_3_L,TPOJ3,L,Occ,Occipital,Temporo-Parieto-Occipital_Junction,False,141
DVT_L,Dorsal_Transitional_Visual_Area_L,DVT,L,Occ,Occipital,Posterior_Cingulate,True,142
PGp_L,Area_PGp_L,PGp,L,Occ,Occipital,Inferior_Parietal,False,143
IP2_L,Area_IntraParietal_2_L,IP2,L,Par,Parietal,Inferior_Parietal,False,144
IP1_L,Area_IntraParietal_1_L,IP1,L,Par,Parietal,Inferior_Parietal,False,145
IP0_L,Area_IntraParietal_0_L,IP0,L,Occ,Occipital,Inferior_Parietal,False,146
PFop_L,Area_PF_Opercular_L,PFop,L,Par,Parietal,Inferior_Parietal,False,147
PF_L,Area_PF_Complex_L,PF,L,Par,Parietal,Inferior_Parietal,False,148
PFm_L,Area_PFm_Complex_L,PFm,L,Par,Parietal,Inferior_Parietal,False,149
PGi_L,Area_PGi_L,PGi,L,Par,Parietal,Inferior_Parietal,False,150
PGs_L,Area_PGs_L,PGs,L,Par,Parietal,Inferior_Parietal,False,151
V6A_L,Area_V6A_L,V6A,L,Occ,Occipital,Dorsal_Stream_Visual,False,152
VMV1_L,VentroMedial_Visual_Area_1_L,VMV1,L,Occ,Occipital,Ventral_Stream_Visual,False,153
VMV3_L,VentroMedial_Visual_Area_3_L,VMV3,L,Occ,Occipital,Ventral_Stream_Visual,False,154
PHA2_L,ParaHippocampal_Area_2_L,PHA2,L,Temp,Temporal,Medial_Temporal,False,155
V4t_L,Area_V4t_L,V4t,L,Occ,Occipital,MT+_Complex_and_Neighboring_Visual_Areas,False,156
FST_L,Area_FST_L,FST,L,Occ,Occipital,MT+_Complex_and_Neighboring_Visual_Areas,False,157
V3CD_L,Area_V3CD_L,V3CD,L,Occ,Occipital,MT+_Complex_and_Neighboring_Visual_Areas,False,158
LO3_L,Area_Lateral_Occipital_3_L,LO3,L,Occ,Occipital,MT+_Complex_and_Neighboring_Visual_Areas,False,159
VMV2_L,VentroMedial_Visual_Area_2_L,VMV2,L,Occ,Occipital,Ventral_Stream_Visual,False,160
31pd_L,Area_31pd_L,31pd,L,Par,Parietal,Posterior_Cingulate,True,161
31a_L,Area_31a_L,31a,L,Par,Parietal,Posterior_Cingulate,True,162
VVC_L,Ventral_Visual_Complex_L,VVC,L,Temp,Temporal,Ventral_Stream_Visual,False,163
25_L,Area_25_L,25,L,Fr,Frontal,Anterior_Cingulate_and_Medial_Prefrontal,True,164
s32_L,Area_s32_L,s32,L,Fr,Frontal,Anterior_Cingulate_and_Medial_Prefrontal,True,165
pOFC_L,Posterior_OFC_Complex_L,pOFC,L,Fr,Frontal,Anterior_Cingulate_and_Medial_Prefrontal,True,166
PoI1_L,Area_Posterior_Insular_1_L,PoI1,L,Ins,Insular,Insular_and_Frontal_Opercular,False,167
Ig_L,Insular_Granular_Complex_L,Ig,L,Ins,Insular,Insular_and_Frontal_Opercular,False,168
FOP5_L,Area_Frontal_Opercular_5_L,FOP5,L,Fr,Frontal,Insular_and_Frontal_Opercular,False,169
p10p_L,Area_posterior_10p_L,p10p,L,Fr,Frontal,Orbital_and_Polar_Frontal,False,170
p47r_L,Area_posterior_47r_L,p47r,L,Fr,Frontal,Inferior_Frontal,False,171
TGv_L,Area_TG_Ventral_L,TGv,L,Temp,Temporal,Lateral_Temporal,False,172
MBelt_L,Medial_Belt_Complex_L,MBelt,L,Temp,Temporal,Early_Auditory,False,173
LBelt_L,Lateral_Belt_Complex_L,LBelt,L,Temp,Temporal,Early_Auditory,False,174
A4_L,Auditory_4_Complex_L,A4,L,Temp,Temporal,Auditory_Association,False,175
STSva_L,Area_STSv_anterior_L,STSva,L,Temp,Temporal,Auditory_Association,False,176
TE1m_L,Area_TE1_Middle_L,TE1m,L,Temp,Temporal,Lateral_Temporal,False,177
PI_L,Para-Insular_Area_L,PI,L,Temp,Temporal,Insular_and_Frontal_Opercular,False,178
a32pr_L,Area_anterior_32_prime_L,a32pr,L,Fr,Frontal,Anterior_Cingulate_and_Medial_Prefrontal,True,179
p24_L,Area_posterior_24_L,p24,L,Fr,Frontal,Anterior_Cingulate_and_Medial_Prefrontal,True,180
V1_R,Primary_Visual_Cortex_R,V1,R,Occ,Occipital,Primary_Visual,False,201
MST_R,Medial_Superior_Temporal_Area_R,MST,R,Occ,Occipital,MT+_Complex_and_Neighboring_Visual_Areas,False,202
V6_R,Sixth_Visual_Area_R,V6,R,Occ,Occipital,Dorsal_Stream_Visual,False,203
V2_R,Second_Visual_Area_R,V2,R,Occ,Occipital,Early_Visual,False,204
V3_R,Third_Visual_Area_R,V3,R,Occ,Occipital,Early_Visual,False,205
V4_R,Fourth_Visual_Area_R,V4,R,Occ,Occipital,Early_Visual,False,206
V8_R,Eighth_Visual_Area_R,V8,R,Occ,Occipital,Ventral_Stream_Visual,False,207
4_R,Primary_Motor_Cortex_R,4,R,Fr,Frontal,Somatosensory_and_Motor,False,208
3b_R,Primary_Sensory_Cortex_R,3b,R,Fr,Frontal,Somatosensory_and_Motor,False,209
FEF_R,Frontal_Eye_Fields_R,FEF,R,Fr,Frontal,Premotor,False,210
PEF_R,Premotor_Eye_Field_R,PEF,R,Fr,Frontal,Premotor,False,211
55b_R,Area_55b_R,55b,R,Fr,Frontal,Premotor,False,212
V3A_R,Area_V3A_R,V3A,R,Occ,Occipital,Dorsal_Stream_Visual,False,213
RSC_R,RetroSplenial_Complex_R,RSC,R,Par,Parietal,Posterior_Cingulate,True,214
POS2_R,Parieto-Occipital_Sulcus_Area_2_R,POS2,R,Par,Parietal,Posterior_Cingulate,True,215
V7_R,Seventh_Visual_Area_R,V7,R,Occ,Occipital,Dorsal_Stream_Visual,False,216
IPS1_R,IntraParietal_Sulcus_Area_1_R,IPS1,R,Par,Parietal,Dorsal_Stream_Visual,False,217
FFC_R,Fusiform_Face_Complex_R,FFC,R,Temp,Temporal,Ventral_Stream_Visual,False,218
V3B_R,Area_V3B_R,V3B,R,Occ,Occipital,Dorsal_Stream_Visual,False,219
LO1_R,Area_Lateral_Occipital_1_R,LO1,R,Occ,Occipital,MT+_Complex_and_Neighboring_Visual_Areas,False,220
LO2_R,Area_Lateral_Occipital_2_R,LO2,R,Occ,Occipital,MT+_Complex_and_Neighboring_Visual_Areas,False,221
PIT_R,Posterior_InferoTemporal_complex_R,PIT,R,Occ,Occipital,Ventral_Stream_Visual,False,222
MT_R,Middle_Temporal_Area_R,MT,R,Occ,Occipital,MT+_Complex_and_Neighboring_Visual_Areas,False,223
A1_R,Primary_Auditory_Cortex_R,A1,R,Temp,Temporal,Early_Auditory,False,224
PSL_R,PeriSylvian_Language_Area_R,PSL,R,Par,Parietal,Temporo-Parieto-Occipital_Junction,False,225
SFL_R,Superior_Frontal_Language_Area_R,SFL,R,Fr,Frontal,Dorsolateral_Prefrontal,False,226
PCV_R,PreCuneus_Visual_Area_R,PCV,R,Par,Parietal,Posterior_Cingulate,True,227
STV_R,Superior_Temporal_Visual_Area_R,STV,R,Par,Parietal,Temporo-Parieto-Occipital_Junction,False,228
7Pm_R,Medial_Area_7P_R,7Pm,R,Par,Parietal,Superior_Parietal,False,229
7m_R,Area_7m_R,7m,R,Par,Parietal,Posterior_Cingulate,True,230
POS1_R,Parieto-Occipital_Sulcus_Area_1_R,POS1,R,Par,Parietal,Posterior_Cingulate,True,231
23d_R,Area_23d_R,23d,R,Par,Parietal,Posterior_Cingulate,True,232
v23ab_R,Area_ventral_23_a+b_R,v23ab,R,Par,Parietal,Posterior_Cingulate,True,233
d23ab_R,Area_dorsal_23_a+b_R,d23ab,R,Par,Parietal,Posterior_Cingulate,True,234
31pv_R,Area_31p_ventral_R,31pv,R,Par,Parietal,Posterior_Cingulate,True,235
