ROI,r,n,p,95% CI [r],p_FDR,FDR sig.
L Bankssts,0.143,1104,< .001,"[0.085, 0.200]",< .001,✓
L Caudalanteriorcingulate,0.157,1104,< .001,"[0.099, 0.214]",< .001,✓
L Caudalmiddlefrontal,0.205,1104,< .001,"[0.147, 0.261]",< .001,✓
L Cuneus,0.226,1104,< .001,"[0.169, 0.281]",< .001,✓
L Entorhinal,0.255,1104,< .001,"[0.199, 0.309]",< .001,✓
L Fusiform,0.223,1104,< .001,"[0.166, 0.278]",< .001,✓
L Inferiorparietal,0.211,1104,< .001,"[0.154, 0.267]",< .001,✓
L Inferiortemporal,0.295,1104,< .001,"[0.240, 0.348]",< .001,✓
L Isthmuscingulate,0.094,1104,= 0.002,"[0.036, 0.153]",= 0.002,✓
L Lateraloccipital,0.188,1104,< .001,"[0.130, 0.244]",< .001,✓
L Lateralorbitofrontal,0.241,1104,< .001,"[0.185, 0.296]",< .001,✓
L Lingual,0.164,1104,< .001,"[0.106, 0.221]",< .001,✓
L Medialorbitofrontal,0.154,1104,< .001,"[0.096, 0.212]",< .001,✓
L Middletemporal,0.264,1104,< .001,"[0.209, 0.318]",< .001,✓
L Parahippocampal,0.135,1104,< .001,"[0.076, 0.192]",< .001,✓
L Paracentral,0.159,1104,< .001,"[0.101, 0.216]",< .001,✓
L Parsopercularis,0.174,1104,< .001,"[0.116, 0.230]",< .001,✓
L Parsorbitalis,0.179,1104,< .001,"[0.121, 0.236]",< .001,✓
L Parstriangularis,0.114,1104,< .001,"[0.056, 0.172]",< .001,✓
L Pericalcarine,0.184,1104,< .001,"[0.126, 0.240]",< .001,✓
L Postcentral,0.221,1104,< .001,"[0.164, 0.276]",< .001,✓
L Posteriorcingulate,0.159,1104,< .001,"[0.101, 0.216]",< .001,✓
L Precentral,0.238,1104,< .001,"[0.182, 0.293]",< .001,✓
L Precuneus,0.262,1104,< .001,"[0.206, 0.316]",< .001,✓
L Rostralanteriorcingulate,0.244,1104,< .001,"[0.188, 0.299]",< .001,✓
L Rostralmiddlefrontal,0.230,1104,< .001,"[0.173, 0.285]",< .001,✓
L Superiorfrontal,0.210,1104,< .001,"[0.153, 0.266]",< .001,✓
L Superiorparietal,0.264,1104,< .001,"[0.208, 0.318]",< .001,✓
L Superiortemporal,0.203,1104,< .001,"[0.146, 0.259]",< .001,✓
L Supramarginal,0.252,1104,< .001,"[0.196, 0.307]",< .001,✓
L Frontalpole,0.131,1104,< .001,"[0.073, 0.189]",< .001,✓
L Temporalpole,0.206,1104,< .001,"[0.148, 0.261]",< .001,✓
L Transversetemporal,0.123,1104,< .001,"[0.064, 0.180]",< .001,✓
L Insula,0.197,1104,< .001,"[0.140, 0.253]",< .001,✓
R Bankssts,0.160,1104,< .001,"[0.102, 0.217]",< .001,✓
R Caudalanteriorcingulate,0.071,1104,= 0.019,"[0.012, 0.129]",= 0.019,✓
R Caudalmiddlefrontal,0.165,1104,< .001,"[0.107, 0.222]",< .001,✓
R Cuneus,0.188,1104,< .001,"[0.131, 0.245]",< .001,✓
R Entorhinal,0.179,1104,< .001,"[0.121, 0.235]",< .001,✓
R Fusiform,0.198,1104,< .001,"[0.141, 0.254]",< .001,✓
R Inferiorparietal,0.218,1104,< .001,"[0.161, 0.273]",< .001,✓
R Inferiortemporal,0.266,1104,< .001,"[0.210, 0.320]",< .001,✓
R Isthmuscingulate,0.131,1104,< .001,"[0.072, 0.188]",< .001,✓
R Lateraloccipital,0.200,1104,< .001,"[0.143, 0.256]",< .001,✓
R Lateralorbitofrontal,0.211,1104,< .001,"[0.154, 0.267]",< .001,✓
R Lingual,0.192,1104,< .001,"[0.135, 0.248]",< .001,✓
R Medialorbitofrontal,0.184,1104,< .001,"[0.126, 0.240]",< .001,✓
R Middletemporal,0.285,1104,< .001,"[0.230, 0.338]",< .001,✓
R Parahippocampal,0.186,1104,< .001,"[0.129, 0.243]",< .001,✓
R Paracentral,0.123,1104,< .001,"[0.065, 0.181]",< .001,✓
R Parsopercularis,0.203,1104,< .001,"[0.145, 0.259]",< .001,✓
R Parsorbitalis,0.185,1104,< .001,"[0.128, 0.242]",< .001,✓
R Parstriangularis,0.113,1104,< .001,"[0.054, 0.171]",< .001,✓
R Pericalcarine,0.122,1104,< .001,"[0.063, 0.179]",< .001,✓
R Postcentral,0.238,1104,< .001,"[0.182, 0.293]",< .001,✓
R Posteriorcingulate,0.175,1104,< .001,"[0.117, 0.231]",< .001,✓
R Precentral,0.230,1104,< .001,"[0.174, 0.286]",< .001,✓
R Precuneus,0.248,1104,< .001,"[0.192, 0.302]",< .001,✓
R Rostralanteriorcingulate,0.166,1104,< .001,"[0.108, 0.223]",< .001,✓
R Rostralmiddlefrontal,0.231,1104,< .001,"[0.174, 0.286]",< .001,✓
R Superiorfrontal,0.242,1104,< .001,"[0.185, 0.296]",< .001,✓
R Superiorparietal,0.232,1104,< .001,"[0.175, 0.287]",< .001,✓
R Superiortemporal,0.212,1104,< .001,"[0.155, 0.268]",< .001,✓
R Supramarginal,0.236,1104,< .001,"[0.180, 0.291]",< .001,✓
R Frontalpole,0.170,1104,< .001,"[0.112, 0.227]",< .001,✓
R Temporalpole,0.085,1104,= 0.005,"[0.026, 0.143]",= 0.005,✓
R Transversetemporal,0.149,1104,< .001,"[0.091, 0.207]",< .001,✓
R Insula,0.190,1104,< .001,"[0.132, 0.246]",< .001,✓
