ROI,t,df,p,d,95% CI [d],p_FDR,FDR sig.
L Bankssts,-1.28,786,= 0.202,-0.09,"[-0.23, 0.05]",= 0.214,
L Caudalanteriorcingulate,-1.55,786,= 0.121,-0.11,"[-0.25, 0.03]",= 0.148,
L Caudalmiddlefrontal,-1.66,786,= 0.097,-0.12,"[-0.26, 0.02]",= 0.125,
L Cuneus,-3.52,786,< .001,-0.25,"[-0.39, -0.11]",= 0.008,✓
L Entorhinal,-2.54,786,= 0.011,-0.18,"[-0.32, -0.04]",= 0.028,✓
L Fusiform,-2.09,786,= 0.037,-0.15,"[-0.29, -0.01]",= 0.062,
L Inferiorparietal,-2.83,786,= 0.005,-0.20,"[-0.34, -0.06]",= 0.021,✓
L Inferiortemporal,-2.37,786,= 0.018,-0.17,"[-0.31, -0.03]",= 0.036,✓
L Isthmuscingulate,-1.56,786,= 0.119,-0.11,"[-0.25, 0.03]",= 0.148,
L Lateraloccipital,-2.98,786,= 0.003,-0.21,"[-0.35, -0.07]",= 0.021,✓
L Lateralorbitofrontal,-2.32,786,= 0.021,-0.16,"[-0.30, -0.02]",= 0.040,✓
L Lingual,-1.54,786,= 0.124,-0.11,"[-0.25, 0.03]",= 0.148,
L Medialorbitofrontal,-2.54,786,= 0.011,-0.18,"[-0.32, -0.04]",= 0.028,✓
L Middletemporal,-2.46,786,= 0.014,-0.18,"[-0.32, -0.04]",= 0.032,✓
L Parahippocampal,-1.54,786,= 0.124,-0.11,"[-0.25, 0.03]",= 0.148,
L Paracentral,-2.71,786,= 0.007,-0.19,"[-0.33, -0.05]",= 0.023,✓
L Parsopercularis,-1.82,786,= 0.070,-0.13,"[-0.27, 0.01]",= 0.095,
L Parsorbitalis,-1.36,786,= 0.173,-0.10,"[-0.24, 0.04]",= 0.187,
L Parstriangularis,-2.63,786,= 0.009,-0.19,"[-0.33, -0.05]",= 0.026,✓
L Pericalcarine,-2.87,786,= 0.004,-0.20,"[-0.34, -0.06]",= 0.021,✓
L Postcentral,-1.37,786,= 0.172,-0.10,"[-0.24, 0.04]",= 0.187,
L Posteriorcingulate,-1.42,786,= 0.156,-0.10,"[-0.24, 0.04]",= 0.177,
L Precentral,-2.01,786,= 0.044,-0.14,"[-0.28, -0.00]",= 0.067,
L Precuneus,-2.90,786,= 0.004,-0.21,"[-0.35, -0.07]",= 0.021,✓
L Rostralanteriorcingulate,-2.20,786,= 0.028,-0.16,"[-0.30, -0.02]",= 0.049,✓
L Rostralmiddlefrontal,-2.66,786,= 0.008,-0.19,"[-0.33, -0.05]",= 0.025,✓
L Superiorfrontal,-3.60,786,< .001,-0.26,"[-0.40, -0.12]",= 0.008,✓
