ROI,t,df,p,d,95% CI [d],p_FDR,FDR sig.
L Cuneus,-3.52,786,< .001,-0.25,"[-0.39, -0.11]",= 0.008,✓
L Entorhinal,-2.54,786,= 0.011,-0.18,"[-0.32, -0.04]",= 0.028,✓
L Inferiorparietal,-2.83,786,= 0.005,-0.20,"[-0.34, -0.06]",= 0.021,✓
L Inferiortemporal,-2.37,786,= 0.018,-0.17,"[-0.31, -0.03]",= 0.036,✓
L Lateraloccipital,-2.98,786,= 0.003,-0.21,"[-0.35, -0.07]",= 0.021,✓
L Lateralorbitofrontal,-2.32,786,= 0.021,-0.16,"[-0.30, -0.02]",= 0.040,✓
L Medialorbitofrontal,-2.54,786,= 0.011,-0.18,"[-0.32, -0.04]",= 0.028,✓
L Middletemporal,-2.46,786,= 0.014,-0.18,"[-0.32, -0.04]",= 0.032,✓
L Paracentral,-2.71,786,= 0.007,-0.19,"[-0.33, -0.05]",= 0.023,✓
L Parstriangularis,-2.63,786,= 0.009,-0.19,"[-0.33, -0.05]",= 0.026,✓
L Pericalcarine,-2.87,786,= 0.004,-0.20,"[-0.34, -0.06]",= 0.021,✓
L Precuneus,-2.90,786,= 0.004,-0.21,"[-0.35, -0.07]",= 0.021,✓
L Rostralanteriorcingulate,-2.20,786,= 0.028,-0.16,"[-0.30, -0.02]",= 0.049,✓
L Rostralmiddlefrontal,-2.66,786,= 0.008,-0.19,"[-0.33, -0.05]",= 0.025,✓
L Superiorfrontal,-3.60,786,< .001,-0.26,"[-0.40, -0.12]",= 0.008,✓
L Superiorparietal,-2.75,786,= 0.006,-0.20,"[-0.34, -0.06]",= 0.022,✓
L Superiortemporal,-2.77,786,= 0.006,-0.20,"[-0.34, -0.06]",= 0.022,✓
L Supramarginal,-2.60,786,= 0.009,-0.19,"[-0.33, -0.05]",= 0.027,✓
L Temporalpole,-2.79,786,= 0.005,-0.20,"[-0.34, -0.06]",= 0.021,✓
R Bankssts,-2.30,786,= 0.022,-0.16,"[-0.30, -0.02]",= 0.041,✓
R Cuneus,-2.49,786,= 0.013,-0.18,"[-0.32, -0.04]",= 0.030,✓
R Fusiform,-2.74,786,= 0.006,-0.20,"[-0.34, -0.06]",= 0.022,✓
R Inferiortemporal,-3.24,786,= 0.001,-0.23,"[-0.37, -0.09]",= 0.017,✓
R Isthmuscingulate,-2.81,786,= 0.005,-0.20,"[-0.34, -0.06]",= 0.021,✓
R Lateraloccipital,-2.42,786,= 0.016,-0.17,"[-0.31, -0.03]",= 0.033,✓
R Medialorbitofrontal,-2.26,786,= 0.024,-0.16,"[-0.30, -0.02]",= 0.044,✓
R Middletemporal,-2.83,786,= 0.005,-0.20,"[-0.34, -0.06]",= 0.021,✓
R Pericalcarine,-2.91,786,= 0.004,-0.21,"[-0.35, -0.07]",= 0.021,✓
R Postcentral,-2.86,786,= 0.004,-0.20,"[-0.34, -0.06]",= 0.021,✓
R Precentral,-2.93,786,= 0.003,-0.21,"[-0.35, -0.07]",= 0.021,✓
R Rostralmiddlefrontal,-2.94,786,= 0.003,-0.21,"[-0.35, -0.07]",= 0.021,✓
R Superiorfrontal,-3.93,786,< .001,-0.28,"[-0.42, -0.14]",= 0.003,✓
R Superiorparietal,-2.39,786,= 0.017,-0.17,"[-0.31, -0.03]",= 0.035,✓
R Superiortemporal,-2.85,786,= 0.004,-0.20,"[-0.34, -0.06]",= 0.021,✓
R Supramarginal,-4.05,786,< .001,-0.29,"[-0.43, -0.15]",= 0.003,✓
R Frontalpole,-2.45,786,= 0.015,-0.17,"[-0.31, -0.03]",= 0.032,✓
R Temporalpole,-2.51,786,= 0.012,-0.18,"[-0.32, -0.04]",= 0.029,✓
R Transversetemporal,-2.55,786,= 0.011,-0.18,"[-0.32, -0.04]",= 0.028,✓
R Insula,-2.23,786,= 0.026,-0.16,"[-0.30, -0.02]",= 0.047,✓
