ROI,t,df,p,d,95% CI [d],p_FDR,FDR sig.
L Bankssts,0.94,786,= 0.346,0.07,"[-0.07, 0.21]",= 0.865,
L Caudalanteriorcingulate,-0.73,786,= 0.467,-0.05,"[-0.19, 0.09]",= 0.865,
L Caudalmiddlefrontal,2.94,786,= 0.003,0.21,"[0.07, 0.35]",= 0.144,
L Cuneus,-0.67,786,= 0.501,-0.05,"[-0.19, 0.09]",= 0.865,
L Entorhinal,0.67,786,= 0.505,0.05,"[-0.09, 0.19]",= 0.865,
L Fusiform,0.28,786,= 0.781,0.02,"[-0.12, 0.16]",= 0.942,
L Inferiorparietal,-0.40,786,= 0.692,-0.03,"[-0.17, 0.11]",= 0.915,
L Inferiortemporal,0.72,786,= 0.473,0.05,"[-0.09, 0.19]",= 0.865,
L Isthmuscingulate,1.77,786,= 0.077,0.13,"[-0.01, 0.27]",= 0.748,
L Lateraloccipital,-1.32,786,= 0.188,-0.09,"[-0.23, 0.05]",= 0.865,
L Lateralorbitofrontal,0.72,786,= 0.473,0.05,"[-0.09, 0.19]",= 0.865,
L Lingual,-0.07,786,= 0.942,-0.01,"[-0.14, 0.13]",= 0.942,
L Medialorbitofrontal,0.76,786,= 0.447,0.05,"[-0.09, 0.19]",= 0.865,
L Middletemporal,-0.12,786,= 0.906,-0.01,"[-0.15, 0.13]",= 0.942,
L Parahippocampal,1.22,786,= 0.223,0.09,"[-0.05, 0.23]",= 0.865,
L Paracentral,1.12,786,= 0.264,0.08,"[-0.06, 0.22]",= 0.865,
L Parsopercularis,1.17,786,= 0.243,0.08,"[-0.06, 0.22]",= 0.865,
L Parsorbitalis,2.71,786,= 0.007,0.19,"[0.05, 0.33]",= 0.155,
L Parstriangularis,1.82,786,= 0.069,0.13,"[-0.01, 0.27]",= 0.748,
L Pericalcarine,-0.76,786,= 0.446,-0.05,"[-0.19, 0.09]",= 0.865,
L Postcentral,0.91,786,= 0.363,0.06,"[-0.07, 0.20]",= 0.865,
L Posteriorcingulate,0.68,786,= 0.496,0.05,"[-0.09, 0.19]",= 0.865,
L Precentral,1.40,786,= 0.161,0.10,"[-0.04, 0.24]",= 0.865,
L Precuneus,-0.32,786,= 0.752,-0.02,"[-0.16, 0.12]",= 0.942,
L Rostralanteriorcingulate,0.17,786,= 0.869,0.01,"[-0.13, 0.15]",= 0.942,
L Rostralmiddlefrontal,2.04,786,= 0.042,0.15,"[0.01, 0.29]",= 0.571,
L Superiorfrontal,2.87,786,= 0.004,0.20,"[0.06, 0.34]",= 0.144,
L Superiorparietal,0.39,786,= 0.700,0.03,"[-0.11, 0.17]",= 0.915,
L Superiortemporal,0.21,786,= 0.833,0.02,"[-0.12, 0.15]",= 0.942,
L Supramarginal,1.03,786,= 0.304,0.07,"[-0.07, 0.21]",= 0.865,
L Frontalpole,1.16,786,= 0.245,0.08,"[-0.06, 0.22]",= 0.865,
L Temporalpole,0.81,786,= 0.419,0.06,"[-0.08, 0.20]",= 0.865,
L Transversetemporal,-1.11,786,= 0.269,-0.08,"[-0.22, 0.06]",= 0.865,
L Insula,-0.09,786,= 0.926,-0.01,"[-0.15, 0.13]",= 0.942,
