ROI,t,df,p,d,95% CI [d],p_FDR,FDR sig.
L Bankssts,-0.39,1102,= 0.700,-0.02,"[-0.15, 0.10]",= 0.951,
L Caudalanteriorcingulate,1.39,1102,= 0.166,0.09,"[-0.04, 0.22]",= 0.951,
L Caudalmiddlefrontal,-0.70,1102,= 0.483,-0.05,"[-0.17, 0.08]",= 0.951,
L Cuneus,1.30,1102,= 0.193,0.08,"[-0.04, 0.21]",= 0.951,
L Entorhinal,3.16,1102,= 0.002,0.20,"[0.08, 0.33]",= 0.037,✓
L Fusiform,0.64,1102,= 0.520,0.04,"[-0.09, 0.17]",= 0.951,
L Inferiorparietal,-0.24,1102,= 0.811,-0.02,"[-0.14, 0.11]",= 0.951,
L Inferiortemporal,0.18,1102,= 0.857,0.01,"[-0.12, 0.14]",= 0.953,
L Isthmuscingulate,0.96,1102,= 0.338,0.06,"[-0.06, 0.19]",= 0.951,
L Lateraloccipital,0.92,1102,= 0.357,0.06,"[-0.07, 0.19]",= 0.951,
L Lateralorbitofrontal,0.29,1102,= 0.772,0.02,"[-0.11, 0.15]",= 0.951,
L Lingual,0.80,1102,= 0.425,0.05,"[-0.08, 0.18]",= 0.951,
L Medialorbitofrontal,-0.35,1102,= 0.724,-0.02,"[-0.15, 0.10]",= 0.951,
L Middletemporal,0.26,1102,= 0.791,0.02,"[-0.11, 0.14]",= 0.951,
L Parahippocampal,-1.18,1102,= 0.238,-0.07,"[-0.20, 0.05]",= 0.951,
L Paracentral,0.15,1102,= 0.883,0.01,"[-0.12, 0.14]",= 0.953,
L Parsopercularis,-0.17,1102,= 0.868,-0.01,"[-0.14, 0.12]",= 0.953,
L Parsorbitalis,-1.11,1102,= 0.267,-0.07,"[-0.19, 0.06]",= 0.951,
L Parstriangularis,-0.56,1102,= 0.578,-0.04,"[-0.16, 0.09]",= 0.951,
L Pericalcarine,1.37,1102,= 0.172,0.09,"[-0.04, 0.22]",= 0.951,
L Postcentral,0.44,1102,= 0.661,0.03,"[-0.10, 0.16]",= 0.951,
L Posteriorcingulate,0.88,1102,= 0.379,0.06,"[-0.07, 0.18]",= 0.951,
L Precentral,-0.61,1102,= 0.540,-0.04,"[-0.17, 0.09]",= 0.951,
L Precuneus,1.04,1102,= 0.300,0.07,"[-0.06, 0.20]",= 0.951,
L Rostralanteriorcingulate,0.85,1102,= 0.394,0.06,"[-0.07, 0.18]",= 0.951,
L Rostralmiddlefrontal,0.03,1102,= 0.974,0.00,"[-0.12, 0.13]",= 0.989,
L Superiorfrontal,-0.51,1102,= 0.611,-0.03,"[-0.16, 0.09]",= 0.951,
L Superiorparietal,-0.45,1102,= 0.656,-0.03,"[-0.16, 0.10]",= 0.951,
L Superiortemporal,-0.54,1102,= 0.592,-0.04,"[-0.16, 0.09]",= 0.951,
L Supramarginal,-0.56,1102,= 0.574,-0.04,"[-0.16, 0.09]",= 0.951,
L Frontalpole,-0.01,1102,= 0.989,-0.00,"[-0.13, 0.13]",= 0.989,
L Temporalpole,1.34,1102,= 0.181,0.09,"[-0.04, 0.21]",= 0.951,
L Transversetemporal,1.10,1102,= 0.273,0.07,"[-0.06, 0.20]",= 0.951,
L Insula,0.13,1102,= 0.898,0.01,"[-0.12, 0.14]",= 0.954,
R Bankssts,1.58,1102,= 0.115,0.10,"[-0.02, 0.23]",= 0.951,
R Caudalanteriorcingulate,-0.67,1102,= 0.500,-0.04,"[-0.17, 0.08]",= 0.951,
R Caudalmiddlefrontal,0.67,1102,= 0.504,0.04,"[-0.08, 0.17]",= 0.951,
R Cuneus,0.91,1102,= 0.361,0.06,"[-0.07, 0.19]",= 0.951,
R Entorhinal,3.83,1102,< .001,0.25,"[0.12, 0.37]",= 0.009,✓
R Fusiform,1.60,1102,= 0.109,0.11,"[-0.02, 0.23]",= 0.951,
